StationNames,Year,Month,Rainfall,StationIndex
Sylhet,1970,10,608,31
Sylhet,1970,11,47,31
Sylhet,1970,12,0,31
Barisal,1971,1,7,2
Barisal,1971,2,1,2
Barisal,1971,3,0,2
Barisal,1971,4,104,2
Barisal,1971,5,267,2
Barisal,1971,6,503,2
Barisal,1971,7,250,2
Barisal,1971,8,233,2
Barisal,1971,9,394,2
Barisal,1971,10,152,2
Barisal,1971,11,114,2
Barisal,1971,12,0,2
Bhola,1971,1,0,3
Bhola,1971,2,0,3
Bhola,1971,3,0,3
Bhola,1971,4,0,3
Bhola,1971,5,247,3
Bhola,1971,6,584,3
Bhola,1971,7,409,3
Bhola,1971,8,381,3
Bhola,1971,9,409,3
Bhola,1971,10,107,3
Bhola,1971,11,1283,3
Bhola,1971,12,0,3
Bogra,1971,1,13,4
Bogra,1971,2,4,4
Bogra,1971,3,8,4
Bogra,1971,4,0,4
Bogra,1971,5,0,4
Bogra,1971,6,0,4
Bogra,1971,7,344,4
Bogra,1971,8,312,4
Bogra,1971,9,392,4
Bogra,1971,10,128,4
Bogra,1971,11,41,4
Bogra,1971,12,0,4
Chittagong (IAP-Patenga),1971,1,10,6
Chittagong (IAP-Patenga),1971,2,0,6
Chittagong (IAP-Patenga),1971,3,0,6
Chittagong (IAP-Patenga),1971,4,2,6
Chittagong (IAP-Patenga),1971,5,63,6
Chittagong (IAP-Patenga),1971,6,853,6
Chittagong (IAP-Patenga),1971,7,949,6
Chittagong (IAP-Patenga),1971,8,707,6
Chittagong (IAP-Patenga),1971,9,184,6
Chittagong (IAP-Patenga),1971,10,59,6
Chittagong (IAP-Patenga),1971,11,0,6
Chittagong (IAP-Patenga),1971,12,0,6
Comilla,1971,1,5,7
Comilla,1971,2,10,7
Comilla,1971,3,0,7
Comilla,1971,4,0,7
Comilla,1971,5,46,7
Comilla,1971,6,123,7
Comilla,1971,7,291,7
Comilla,1971,8,307,7
Comilla,1971,9,172,7
Comilla,1971,10,166,7
Comilla,1971,11,57,7
Comilla,1971,12,0,7
CoxsBazar,1971,1,4,8
CoxsBazar,1971,2,0,8
CoxsBazar,1971,3,1,8
CoxsBazar,1971,4,5,8
CoxsBazar,1971,5,155,8
CoxsBazar,1971,6,1179,8
CoxsBazar,1971,7,1518,8
CoxsBazar,1971,8,680,8
CoxsBazar,1971,9,112,8
CoxsBazar,1971,10,163,8
CoxsBazar,1971,11,91,8
CoxsBazar,1971,12,0,8
Dhaka,1971,1,3,9
Dhaka,1971,2,28,9
Dhaka,1971,3,0,9
Dhaka,1971,4,0,9
Dhaka,1971,5,344,9
Dhaka,1971,6,339,9
Dhaka,1971,7,550,9
Dhaka,1971,8,540,9
Dhaka,1971,9,259,9
Dhaka,1971,10,118,9
Dhaka,1971,11,95,9
Dhaka,1971,12,0,9
Dinajpur,1971,1,8,10
Dinajpur,1971,2,11,10
Dinajpur,1971,3,0,10
Dinajpur,1971,4,0,10
Dinajpur,1971,5,0,10
Dinajpur,1971,6,0,10
Dinajpur,1971,7,0,10
Dinajpur,1971,8,295,10
Dinajpur,1971,9,94,10
Dinajpur,1971,10,302,10
Dinajpur,1971,11,0,10
Dinajpur,1971,12,0,10
Faridpur,1971,1,12,11
Faridpur,1971,2,9,11
Faridpur,1971,3,0,11
Faridpur,1971,4,0,11
Faridpur,1971,5,0,11
Faridpur,1971,6,0,11
Faridpur,1971,7,278,11
Faridpur,1971,8,538,11
Faridpur,1971,9,292,11
Faridpur,1971,10,135,11
Faridpur,1971,11,66,11
Faridpur,1971,12,0,11
Hatiya,1971,1,0,13
Hatiya,1971,2,0,13
Hatiya,1971,3,0,13
Hatiya,1971,4,0,13
Hatiya,1971,4,0,13
Hatiya,1971,5,0,13
Hatiya,1971,6,436,13
Hatiya,1971,7,790,13
Hatiya,1971,8,989,13
Hatiya,1971,9,430,13
Hatiya,1971,10,0,13
Hatiya,1971,11,0,13
Ishurdi,1971,1,0,14
Ishurdi,1971,2,0,14
Ishurdi,1971,3,0,14
Ishurdi,1971,4,0,14
Ishurdi,1971,5,0,14
Ishurdi,1971,6,0,14
Ishurdi,1971,7,0,14
Ishurdi,1971,8,525,14
Ishurdi,1971,9,0,14
Ishurdi,1971,10,0,14
Ishurdi,1971,11,0,14
Ishurdi,1971,12,0,14
Jessore,1971,1,16,15
Jessore,1971,2,0,15
Jessore,1971,3,0,15
Jessore,1971,4,0,15
Jessore,1971,5,0,15
Jessore,1971,6,205,15
Jessore,1971,7,489,15
Jessore,1971,8,500,15
Jessore,1971,9,313,15
Jessore,1971,10,0,15
Jessore,1971,11,0,15
Jessore,1971,12,0,15
Khulna,1971,1,0,17
Khulna,1971,2,0,17
Khulna,1971,3,0,17
Khulna,1971,4,0,17
Khulna,1971,5,37,17
Khulna,1971,6,63,17
Khulna,1971,7,48,17
Khulna,1971,8,135,17
Khulna,1971,9,80,17
Khulna,1971,10,106,17
Khulna,1971,11,6,17
Khulna,1971,12,0,17
M.court,1971,1,0,19
M.court,1971,2,0,19
M.court,1971,3,0,19
M.court,1971,4,0,19
M.court,1971,5,282,19
M.court,1971,6,615,19
M.court,1971,7,793,19
M.court,1971,8,870,19
M.court,1971,9,425,19
M.court,1971,10,230,19
M.court,1971,11,172,19
M.court,1971,12,0,19
Mymensingh,1971,1,0,22
Mymensingh,1971,2,0,22
Mymensingh,1971,3,0,22
Mymensingh,1971,4,0,22
Mymensingh,1971,5,0,22
Mymensingh,1971,6,0,22
Mymensingh,1971,7,0,22
Mymensingh,1971,8,369,22
Mymensingh,1971,9,897,22
Mymensingh,1971,10,445,22
Mymensingh,1971,11,58,22
Mymensingh,1971,12,0,22
Rajshahi,1971,1,22,24
Rajshahi,1971,2,14,24
Rajshahi,1971,3,0,24
Rajshahi,1971,4,0,24
Rajshahi,1971,5,0,24
Rajshahi,1971,6,277,24
Rajshahi,1971,7,452,24
Rajshahi,1971,8,452,24
Rajshahi,1971,9,264,24
Rajshahi,1971,10,81,24
Rajshahi,1971,11,86,24
Rajshahi,1971,12,0,24
Rangamati,1971,1,5,25
Rangamati,1971,2,0,25
Rangamati,1971,3,0,25
Rangamati,1971,4,103,25
Rangamati,1971,5,133,25
Rangamati,1971,6,693,25
Rangamati,1971,7,399,25
Rangamati,1971,8,507,25
Rangamati,1971,9,164,25
Rangamati,1971,10,72,25
Rangamati,1971,11,41,25
Rangamati,1971,12,1,25
Rangpur,1971,1,12,26
Rangpur,1971,2,2,26
Rangpur,1971,3,0,26
Rangpur,1971,4,0,26
Rangpur,1971,5,0,26
Rangpur,1971,6,121,26
Rangpur,1971,7,298,26
Rangpur,1971,8,438,26
Rangpur,1971,9,403,26
Rangpur,1971,10,250,26
Rangpur,1971,11,49,26
Rangpur,1971,12,0,26
Sandwip,1971,1,4,27
Sandwip,1971,2,1,27
Sandwip,1971,3,0,27
Sandwip,1971,4,159,27
Sandwip,1971,5,263,27
Sandwip,1971,6,922,27
Sandwip,1971,7,780,27
Sandwip,1971,8,1113,27
Sandwip,1971,9,273,27
Sandwip,1971,10,260,27
Sandwip,1971,11,175,27
Sandwip,1971,12,0,27
Satkhira,1971,1,0,28
Satkhira,1971,2,0,28
Satkhira,1971,3,0,28
Satkhira,1971,4,0,28
Satkhira,1971,5,93,28
Satkhira,1971,6,401,28
Satkhira,1971,7,598,28
Satkhira,1971,8,0,28
Satkhira,1971,9,263,28
Satkhira,1971,10,198,28
Satkhira,1971,11,0,28
Satkhira,1971,12,0,28
Srimangal,1971,1,4,30
Srimangal,1971,2,0,30
Srimangal,1971,3,0,30
