Year,Month,Station,Forecasted_Temperature
2027,8,9,31.128030710920747
2027,8,10,31.958725105767503
2027,8,11,32.79321521855608
2027,8,12,32.510291812581464
2027,8,13,31.36437545711609
2027,8,14,31.019175030068904
2027,8,15,32.61673511365252
2027,8,16,32.8451870725183
2027,8,17,31.49161890216681
2027,8,18,32.221750378738776
2027,8,19,31.146763377487744
2027,8,20,31.85312363830207
2027,8,21,31.943257496891043
2027,8,22,31.949879349581387
2027,8,23,32.03380907773296
2027,8,24,31.6782982344194
2027,8,25,33.04393822142512
2027,8,26,32.2366468338991
2027,8,27,32.352502461679435
2027,8,28,31.251573627168703
2027,8,29,32.12343265610119
2027,8,30,32.94277175660742
2027,8,31,31.574438186927324
2027,8,32,32.1830957114702
2027,8,33,31.652450291138944
2027,8,34,32.5647105498475
2027,8,35,30.65190094250591
2018,9,1,32.01027419996858
2018,9,2,32.09625651666993
2018,9,3,32.4867333272292
2018,9,4,32.16027790370553
2018,9,5,31.99369530920725
2018,9,6,31.930249415619382
2018,9,7,33.01088784540021
2018,9,8,32.027911116977656
2018,9,9,31.50752474151834
2018,9,10,32.08028836160966
2018,9,11,32.63163652006091
2018,9,12,32.37775605758644
2018,9,13,31.883659007659038
2018,9,14,31.49159372164906
2018,9,15,32.561557709835405
2018,9,16,32.862877691363025
2018,9,17,31.96211696397365
2018,9,18,32.40146484562253
2018,9,19,31.526611468574544
2018,9,20,32.19850530225048
2018,9,21,32.02683791854827
2018,9,22,32.26034272004227
2018,9,23,32.00357755269247
2018,9,24,31.957124281789177
2018,9,25,32.946095747611686
2018,9,26,32.2887983459071
2018,9,27,32.28256618096072
2018,9,28,31.375182957412203
2018,9,29,32.5366410155215
2018,9,30,32.56956162594933
2018,9,31,31.928325212542354
2018,9,32,32.10718186720002
2018,9,33,31.75604748359465
2018,9,34,32.36717657941355
2018,9,35,31.34891471765638
2019,9,1,32.04161670060417
2019,9,2,32.11979815146444
2019,9,3,32.53652859079375
2019,9,4,32.2104693985474
2019,9,5,32.00298840828441
2019,9,6,31.931110632843215
2019,9,7,33.06225988520006
2019,9,8,32.06164933950783
2019,9,9,31.539774295880445
2019,9,10,32.110151870634866
2019,9,11,32.701326868979166
2019,9,12,32.43366693102112
2019,9,13,31.909218977122745
2019,9,14,31.531151144539816
2019,9,15,32.613816940868254
2019,9,16,32.90994160781987
2019,9,17,32.00495679084607
2019,9,18,32.4340332184048
2019,9,19,31.55602374251954
2019,9,20,32.21247372598005
2019,9,21,32.087200536309915
2019,9,22,32.27728898939445
2019,9,23,32.0592373438888
2019,9,24,32.00424320207489
2019,9,25,33.004618793261805
2019,9,26,32.32344922448617
2019,9,27,32.33841904579953
2019,9,28,31.433402157855287
2019,9,29,32.54853253570178
2019,9,30,32.60567316150319
2019,9,31,31.976242706805152
2019,9,32,32.1576512331389
2019,9,33,31.81587432339144
2019,9,34,32.43211928378483
2019,9,35,31.36058876904981
2020,9,1,32.072959201239776
2020,9,2,32.143339786258935
2020,9,3,32.5863238543583
2020,9,4,32.26066089338926
2020,9,5,32.01228150736157
2020,9,6,31.93197185006705
2020,9,7,33.11363192499991
2020,9,8,32.095387562038006
2020,9,9,31.572023850242555
2020,9,10,32.14001537966008
2020,9,11,32.77101721789742
2020,9,12,32.489577804455806
2020,9,13,31.93477894658646
2020,9,14,31.57070856743057
2020,9,15,32.6660761719011
2020,9,16,32.9570055242767
2020,9,17,32.0477966177185
2020,9,18,32.46660159118708
2020,9,19,31.585436016464534
2020,9,20,32.22644214970961
2020,9,21,32.14756315407157
2020,9,22,32.294235258746625
2020,9,23,32.11489713508514
2020,9,24,32.05136212236061
2020,9,25,33.06314183891192
2020,9,26,32.35810010306523
2020,9,27,32.39427191063834
2020,9,28,31.49162135829837
2020,9,29,32.56042405588207
2020,9,30,32.64178469705705
2020,9,31,32.02416020106795
2020,9,32,32.20812059907779
2020,9,33,31.87570116318823
2020,9,34,32.497061988156105
2020,9,35,31.37226282044324
2021,9,1,32.10430170187537
2021,9,2,32.16688142105343
2021,9,3,32.63611911792285
2021,9,4,32.31085238823112
2021,9,5,32.021574606438726
2021,9,6,31.93283306729089
2021,9,7,33.16500396479976
2021,9,8,32.12912578456818
2021,9,9,31.604273404604665
2021,9,10,32.16987888868529
2021,9,11,32.84070756681568
2021,9,12,32.54548867789049
2021,9,13,31.96033891605017
2021,9,14,31.61026599032133
2021,9,15,32.71833540293395
2021,9,16,33.00406944073354
2021,9,17,32.09063644459091
2021,9,18,32.49916996396936
2021,9,19,31.614848290409533
2021,9,20,32.24041057343918
2021,9,21,32.20792577183322
2021,9,22,32.3111815280988
2021,9,23,32.17055692628147
2021,9,24,32.09848104264632
2021,9,25,33.12166488456203
2021,9,26,32.392750981644305
2021,9,27,32.45012477547715
2021,9,28,31.54984055874146
2021,9,29,32.572315576062365
2021,9,30,32.677896232610905
2021,9,31,32.07207769533074
2021,9,32,32.25858996501667
2021,9,33,31.93552800298502
2021,9,34,32.56200469252738
2021,9,35,31.38393687183667
2022,9,1,32.135644202510974
2022,9,2,32.19042305584793
2022,9,3,32.68591438148741
2022,9,4,32.36104388307299
2022,9,5,32.03086770551589
2022,9,6,31.93369428451472
2022,9,7,33.2163760045996
2022,9,8,32.16286400709836
2022,9,9,31.63652295896677
2022,9,10,32.1997423977105
2022,9,11,32.910397915733945
2022,9,12,32.60139955132517
2022,9,13,31.985898885513883
2022,9,14,31.649823413212086
2022,9,15,32.7705946339668
2022,9,16,33.05113335719037
2022,9,17,32.13347627146334
2022,9,18,32.53173833675163
2022,9,19,31.64426056435453
2022,9,20,32.254378997168736
2022,9,21,32.268288389594865
2022,9,22,32.328127797450975
2022,9,23,32.226216717477804
