DATE,Station,Forecasted_Temperature
08/01/2018,35,30.56299436504678
08/01/2019,1,31.64118684912337
08/01/2019,2,31.61043606875337
08/01/2019,3,32.29511795976941
08/01/2019,4,31.82563504056231
08/01/2019,5,31.38336606573272
08/01/2019,6,31.289957766431463
08/01/2019,7,32.74895259896657
08/01/2019,8,31.422885822539417
08/01/2019,9,30.851379240130832
08/01/2019,10,31.80767949129539
08/01/2019,11,32.52166589515195
08/01/2019,12,32.20350850122929
08/01/2019,13,31.244559789204708
08/01/2019,14,30.88387351948067
08/01/2019,15,32.345970432693
08/01/2019,16,32.53608137697055
08/01/2019,17,31.187122487902485
08/01/2019,18,32.03078263752564
08/01/2019,19,30.879768134034727
08/01/2019,20,31.765113583176017
08/01/2019,21,31.46996835754192
08/01/2019,22,31.879028909941965
08/01/2019,23,31.870796681497666
08/01/2019,24,31.32854097120168
08/01/2019,25,32.71688196091481
08/01/2019,26,32.042114686317746
08/01/2019,27,32.19183610681924
08/01/2019,28,30.851476236598803
08/01/2019,29,32.15026426862984
08/01/2019,30,32.73158626641949
08/01/2019,31,31.28828820814657
08/01/2019,32,32.02262926360466
08/01/2019,33,31.524522052899066
08/01/2019,34,32.213801951075915
08/01/2019,35,30.57287287365336
08/01/2020,1,31.66578085098281
08/01/2020,2,31.62836110385497
08/01/2020,3,32.31785878629958
08/01/2020,4,31.86533094234993
08/01/2020,5,31.37928661574341
08/01/2020,6,31.2802985830854
08/01/2020,7,32.77453312086114
08/01/2020,8,31.43886699499473
08/01/2020,9,30.88596067397957
08/01/2020,10,31.82656019310441
08/01/2020,11,32.555609560577466
08/01/2020,12,32.241856415148305
08/01/2020,13,31.25953674769363
08/01/2020,14,30.9007862083042
08/01/2020,15,32.37981601781294
08/01/2020,16,32.57471958891402
08/01/2020,17,31.225184539685525
08/01/2020,18,32.05465360517728
08/01/2020,19,30.91314253946636
08/01/2020,20,31.77611484006677
08/01/2020,21,31.52912949996056
08/01/2020,22,31.88788521489689
08/01/2020,23,31.891173231027075
08/01/2020,24,31.37226062910389
08/01/2020,25,32.7577639934786
08/01/2020,26,32.066431204765415
08/01/2020,27,32.21191940117676
08/01/2020,28,30.90148841042004
08/01/2020,29,32.14691031706376
08/01/2020,30,32.75798445269299
08/01/2020,31,31.32405695549417
08/01/2020,32,32.04268756958785
08/01/2020,33,31.54051308267905
08/01/2020,34,32.25766552592236
08/01/2020,35,30.58275138225992
08/01/2021,1,31.69037485284224
08/01/2021,2,31.646286138956576
08/01/2021,3,32.34059961282976
08/01/2021,4,31.90502684413756
08/01/2021,5,31.375207165754112
08/01/2021,6,31.27063939973933
08/01/2021,7,32.80011364275572
08/01/2021,8,31.45484816745004
08/01/2021,9,30.92054210782831
08/01/2021,10,31.84544089491342
08/01/2021,11,32.589553226002984
08/01/2021,12,32.28020432906733
08/01/2021,13,31.27451370618256
08/01/2021,14,30.91769889712773
08/01/2021,15,32.41366160293288
08/01/2021,16,32.613357800857486
08/01/2021,17,31.263246591468565
08/01/2021,18,32.078524572828925
08/01/2021,19,30.94651694489798
08/01/2021,20,31.78711609695753
08/01/2021,21,31.5882906423792
08/01/2021,22,31.896741519851822
08/01/2021,23,31.911549780556488
08/01/2021,24,31.41598028700611
08/01/2021,25,32.79864602604239
08/01/2021,26,32.090747723213084
08/01/2021,27,32.232002695534284
08/01/2021,28,30.95150058424128
08/01/2021,29,32.14355636549767
08/01/2021,30,32.78438263896648
08/01/2021,31,31.359825702841764
08/01/2021,32,32.062745875571046
08/01/2021,33,31.556504112459034
08/01/2021,34,32.30152910076881
08/01/2021,35,30.59262989086649
08/01/2022,1,31.71496885470168
08/01/2022,2,31.66421117405818
08/01/2022,3,32.36334043935994
08/01/2022,4,31.944722745925183
08/01/2022,5,31.371127715764807
08/01/2022,6,31.260980216393268
08/01/2022,7,32.825694164650294
08/01/2022,8,31.470829339905347
08/01/2022,9,30.95512354167705
08/01/2022,10,31.86432159672244
08/01/2022,11,32.623496891428495
08/01/2022,12,32.31855224298635
08/01/2022,13,31.28949066467148
08/01/2022,14,30.93461158595126
08/01/2022,15,32.44750718805282
08/01/2022,16,32.65199601280096
08/01/2022,17,31.30130864325161
08/01/2022,18,32.102395540480565
08/01/2022,19,30.97989135032961
08/01/2022,20,31.798117353848287
08/01/2022,21,31.64745178479784
08/01/2022,22,31.905597824806748
08/01/2022,23,31.9319263300859
08/01/2022,24,31.459699944908326
08/01/2022,25,32.83952805860618
08/01/2022,26,32.115064241660754
08/01/2022,27,32.25208598989181
08/01/2022,28,31.00151275806252
08/01/2022,29,32.1402024139316
08/01/2022,30,32.810780825239966
08/01/2022,31,31.39559445018936
08/01/2022,32,32.08280418155424
08/01/2022,33,31.57249514223902
08/01/2022,34,32.34539267561526
08/01/2022,35,30.60250839947306
08/01/2023,1,31.739562856561108
08/01/2023,2,31.682136209159783
08/01/2023,3,32.38608126589011
08/01/2023,4,31.984418647712808
08/01/2023,5,31.3670482657755
08/01/2023,6,31.2513210330472
08/01/2023,7,32.85127468654488
08/01/2023,8,31.48681051236065
08/01/2023,9,30.98970497552579
08/01/2023,10,31.883202298531447
08/01/2023,11,32.65744055685401
08/01/2023,12,32.356900156905375
08/01/2023,13,31.3044676231604
08/01/2023,14,30.951524274774787
08/01/2023,15,32.48135277317276
08/01/2023,16,32.69063422474442
08/01/2023,17,31.33937069503465
08/01/2023,18,32.12626650813221
08/01/2023,19,31.013265755761232
08/01/2023,20,31.80911861073904
08/01/2023,21,31.70661292721648
08/01/2023,22,31.91445412976168
08/01/2023,23,31.95230287961531
08/01/2023,24,31.503419602810546
08/01/2023,25,32.88041009116996
08/01/2023,26,32.13938076010842
08/01/2023,27,32.27216928424934
08/01/2023,28,31.051524931883755
08/01/2023,29,32.13684846236551
08/01/2023,30,32.837179011513456
08/01/2023,31,31.43136319753695
08/01/2023,32,32.10286248753743
08/01/2023,33,31.588486172019007
08/01/2023,34,32.389256250461706
08/01/2023,35,30.612386908079632
08/01/2024,1,31.76415685842054
08/01/2024,2,31.700061244261388
08/01/2024,3,32.40882209242029
08/01/2024,4,32.02411454950043
08/01/2024,5,31.3629688157862
08/01/2024,6,31.24166184970113
08/01/2024,7,32.87685520843945
08/01/2024,8,31.502791684815964
08/01/2024,9,31.02428640937453
08/01/2024,10,31.90208300034046
08/01/2024,11,32.69138422227953
08/01/2024,12,32.395248070824394
08/01/2024,13,31.31944458164932
08/01/2024,14,30.96843696359832
08/01/2024,15,32.5151983582927
08/01/2024,16,32.72927243668789
08/01/2024,17,31.37743274681769
08/01/2024,18,32.15013747578385
08/01/2024,19,31.04664016119286
08/01/2024,20,31.8201198676298
08/01/2024,21,31.76577406963512
08/01/2024,22,31.923310434716605
08/01/2024,23,31.972679429144723
08/01/2024,24,31.54713926071276
08/01/2024,25,32.92129212373376
08/01/2024,26,32.16369727855609
08/01/2024,27,32.292252578606856
08/01/2024,28,31.101537105704992
08/01/2024,29,32.13349451079943
08/01/2024,30,32.86357719778695
08/01/2024,31,31.467131944884542
08/01/2024,32,32.12292079352062
08/01/2024,33,31.60447720179899
08/01/2024,34,32.433119825308154
08/01/2024,35,30.6222654166862
08/01/2025,1,31.788750860279976
08/01/2025,2,31.717986279363
08/01/2025,3,32.43156291895046
08/01/2025,4,32.063810451288056
08/01/2025,5,31.35888936579689
08/01/2025,6,31.232002666355072
08/01/2025,7,32.90243573033403
08/01/2025,8,31.51877285727128
08/01/2025,9,31.05886784322327
08/01/2025,10,31.92096370214948
08/01/2025,11,32.72532788770504
08/01/2025,12,32.43359598474342
08/01/2025,13,31.334421540138244
08/01/2025,14,30.98534965242185
08/01/2025,15,32.549043943412634
08/01/2025,16,32.767910648631364
08/01/2025,17,31.41549479860073
08/01/2025,18,32.1740084434355
08/01/2025,19,31.080014566624488
08/01/2025,20,31.83112112452056
08/01/2025,21,31.82493521205376
08/01/2025,22,31.93216673967153
08/01/2025,23,31.993055978674136
08/01/2025,24,31.59085891861497
08/01/2025,25,32.96217415629754
08/01/2025,26,32.18801379700376
08/01/2025,27,32.31233587296438
08/01/2025,28,31.15154927952623
08/01/2025,29,32.130140559233354
08/01/2025,30,32.88997538406044
08/01/2025,31,31.50290069223214
08/01/2025,32,32.14297909950382
08/01/2025,33,31.62046823157897
08/01/2025,34,32.4769834001546
08/01/2025,35,30.63214392529277
08/01/2026,1,31.813344862139413
08/01/2026,2,31.7359113144646
08/01/2026,3,32.45430374548064
08/01/2026,4,32.10350635307568
08/01/2026,5,31.354809915807586
08/01/2026,6,31.22234348300901
08/01/2026,7,32.9280162522286
08/01/2026,8,31.534754029726585
08/01/2026,9,31.093449277072008
08/01/2026,10,31.93984440395849
08/01/2026,11,32.75927155313056
08/01/2026,12,32.47194389866244
08/01/2026,13,31.349398498627167
08/01/2026,14,31.002262341245377
08/01/2026,15,32.582889528532576
08/01/2026,16,32.80654886057483
