Year,Month,Station,Forecasted_Temperature
2025,2,34,28.21716943
2025,2,35,30.19626428
2026,2,1,28.81315061
2026,2,2,29.55338152
2026,2,3,27.84352573
2026,2,4,29.22555693
2026,2,5,29.94459595
2026,2,6,29.66084257
2026,2,7,28.79121868
2026,2,8,28.63159063
2026,2,9,30.31064763
2026,2,10,28.59568433
2026,2,11,27.00847591
2026,2,12,28.83831915
2026,2,13,29.39086225
2026,2,14,29.70890401
2026,2,15,28.34937367
2026,2,16,29.31945954
2026,2,17,29.87799183
2026,2,18,28.93387636
2026,2,19,29.47590799
2026,2,20,29.1734035
2026,2,21,29.27157399
2026,2,22,29.30782978
2026,2,23,27.57500463
2026,2,25,28.29522289
2026,2,26,30.12703547
2026,2,27,26.84015102
2026,2,28,29.80195976
2026,2,29,28.55568816
2026,2,30,27.00165697
2026,2,31,30.24468408
2026,2,32,28.92496586
2026,2,33,28.98040535
2026,2,34,28.23903211
2026,2,35,30.2340856
2027,2,1,28.84708941
2027,2,2,29.5808454
2027,2,3,27.86833329
2027,2,4,29.28098339
2027,2,5,30.00782131
2027,2,6,29.70378245
2027,2,7,28.81405426
2027,2,8,28.65382388
2027,2,9,30.37398666
2027,2,10,28.59956047
2027,2,11,27.0216539
2027,2,12,28.86772158
2027,2,13,29.42015329
2027,2,14,29.76599966
2027,2,15,28.38357074
2027,2,16,29.35510844
2027,2,17,29.93010872
2027,2,18,28.94871807
2027,2,19,29.51217771
2027,2,20,29.1851588
2027,2,21,29.31506203
2027,2,22,29.32620612
2027,2,23,27.59455567
2027,2,25,28.33261715
2027,2,26,30.18894917
2027,2,27,26.86082453
2027,2,28,29.88664588
2027,2,29,28.53769202
2027,2,30,27.00226229
2027,2,31,30.32104819
2027,2,32,28.97500129
2027,2,33,29.05452698
2027,2,34,28.26089479
2027,2,35,30.27190691
2018,3,5,31.9
2018,3,1,33.1
2018,3,2,33
2018,3,3,32.1
2018,3,4,33.2
2018,3,6,31.6
2018,3,7,34.2
2018,3,9,32.1
2018,3,8,31.4
2018,3,10,33.3
2018,3,11,31.2
2018,3,12,33.7
2018,3,13,32.8
2018,3,14,32.2
2018,3,15,33.5
2018,3,16,34.5
2018,3,17,33
2018,3,18,33.7
2018,3,19,31.1
2018,3,21,32.9
2018,3,20,33.2
2018,3,22,33.6
2018,3,23,31.1
2018,3,24,33.7
2018,3,25,34.1
2018,3,26,33.1
2018,3,27,30.9
2018,3,28,31.7
2018,3,29,33.4
2018,3,31,32.3
2018,3,32,32.2
2018,3,30,31.1
2018,3,33,31.5
2018,3,34,32.8
2018,3,35,31.3
2019,3,5,31.3
2019,3,1,31.9
2019,3,2,31.7
2019,3,3,31.1
2019,3,4,31.7
2019,3,6,31
2019,3,7,32.3
2019,3,9,30.2
2019,3,8,31.2
2019,3,10,31.5
2019,3,11,30.7
2019,3,12,31.9
2019,3,13,31.6
2019,3,14,31.1
2019,3,15,32.1
2019,3,16,32.1
2019,3,17,32.2
2019,3,18,31.7
2019,3,19,30.3
2019,3,21,31.4
2019,3,20,31.7
2019,3,22,32
2019,3,23,29.8
2019,3,24,32.5
2019,3,25,32
2019,3,26,32
2019,3,27,30.1
2019,3,28,31.2
2019,3,29,31.6
2019,3,31,32.1
2019,3,32,30.9
2019,3,30,30.9
2019,3,33,31
2019,3,34,31.2
2019,3,35,31.4
2020,3,5,32.7
2020,3,1,32.5
2020,3,2,32.2
2020,3,3,30.7
2020,3,4,32.5
2020,3,6,31.7
2020,3,7,31.9
2020,3,9,32.7
2020,3,8,31.3
2020,3,10,32.2
2020,3,11,29.6
2020,3,12,32.4
2020,3,13,32.4
2020,3,14,31.7
2020,3,15,31.4
2020,3,16,32.5
2020,3,17,32.6
2020,3,18,32.2
2020,3,19,30.9
2020,3,21,32
2020,3,20,32
2020,3,22,32.9
2020,3,23,30.3
2020,3,24,32.9
2020,3,25,31.6
2020,3,26,32.9
2020,3,27,29.8
2020,3,28,32.3
2020,3,29,31.9
2020,3,31,33.1
2020,3,32,31.9
2020,3,30,30.3
2020,3,33,31.8
2020,3,34,31.5
2020,3,35,32.2
2021,3,5,33.5
2021,3,1,34
2021,3,2,33.8
2021,3,3,32.7
2021,3,4,33.9
2021,3,6,32.9
2021,3,7,34.5
2021,3,9,32.9
2021,3,8,33
2021,3,10,34.4
2021,3,11,31.8
2021,3,12,34.5
2021,3,13,34.2
2021,3,14,32.8
2021,3,15,34.3
2021,3,16,35.2
2021,3,17,34.3
2021,3,18,34.5
2021,3,19,31.8
2021,3,21,33.4
2021,3,20,33.7
2021,3,22,34.9
2021,3,23,31.8
2021,3,24,34.4
2021,3,25,34.5
2021,3,26,34.9
2021,3,27,31.2
2021,3,28,33
2021,3,29,33.8
2021,3,31,34.3
2021,3,32,33.4
2021,3,30,32
2021,3,33,33.2
2021,3,34,33.9
2021,3,35,32.2
2022,3,5,33
2022,3,1,33.5
2022,3,2,33.4
2022,3,3,33.3
2022,3,4,34
2022,3,6,32.4
2022,3,7,33.7
2022,3,9,32.7
2022,3,8,32.8
2022,3,10,33.9
2022,3,11,32.4
2022,3,12,33.8
2022,3,13,33.9
2022,3,14,33
2022,3,15,33.9
2022,3,16,34
2022,3,17,33.5
2022,3,18,33.6
2022,3,19,31.7
2022,3,21,33.1
2022,3,20,33.2
